	score
MAPKAPK2	13.29127851486206
UBE2V1	13.286905765533447
MEN1	13.270589933395385
RPS19BP1	13.263030986785889
SETD1A	13.262888288497924
MAVS	13.259462575912476
TBL1X	13.240272932052612
LNPEP	13.239380626678466
SMARCA5	13.234310808181762
GTF2A1	13.221380405426025
GAB2	13.214433851242065
RORA	13.209015169143676
PPP1CA	13.207532596588134
TXN	13.193947172164917
VLDLR	13.184901399612427
SNAI1	13.1808597946167
CHEK2	13.169328908920289
WWP1	13.159851207733155
EPHA3	13.157954006195068
GNAI1	13.144984531402589
SPO11	13.138257541656493
CASP3	13.126990251541137
FGF19	13.084539432525634
AQP2	13.084467763900756
MEIS1	13.062541036605834
ATP2B3	13.057621030807494
FANCD2	13.055152893066406
STRC	13.050449438095093
ZFPM1	13.048410959243775
IL2RA	13.041373081207276
RNF125	13.038944206237794
IL2RB	13.034979133605956
GTF2B	13.026314268112182
TFF1	13.022456779479981
FAT3	13.018291864395142
CAMK4	13.018154449462891
IFIH1	13.006579065322876
TEC	12.996614389419555
IL1RN	12.981786651611328
CD180	12.98030068397522
ATG13	12.966027574539185
TACC3	12.947522697448731
DEPTOR	12.940063915252686
MAX	12.939673414230347
SIK1B	12.937758560180663
ETS2	12.937046318054199
PIAS1	12.922489547729493
DCAF13	12.918276681900025
IKBKE	12.91813458442688
MBD3	12.891117992401123
PPP1CB	12.872602910995484
IGF1	12.861178560256958
TDP2	12.84499800682068
FCF1	12.83684621334076
IRF3	12.830398073196411
RHOG	12.829245958328247
UBA7	12.825118465423584
HMGB1	12.818987884521484
CDH3	12.796341524124145
AKT2	12.795744047164916
NRG2	12.79303391456604
XRCC6	12.787635383605958
STING1	12.768661499023438
TOPORS	12.759974822998046
NOL6	12.749916019439697
HTRA2	12.742255392074584
LMNB1	12.737782440185548
MAPT	12.716124782562256
HOXB3	12.715220317840576
IGF2	12.71090784072876
BCL2	12.70347770690918
WDR77	12.703034954071045
SNAI2	12.702824201583862
YWHAB	12.701698660850525
PPP2R1A	12.700779609680175
LY86	12.699686822891236
LGMN	12.698857021331786
ACTBL2	12.686504802703858
RBL2	12.681911687850953
HUWE1	12.680804233551026
NLRP1	12.680374279022217
STAG3	12.677481746673584
PBX1	12.675246782302857
FOXO3	12.664369611740112
SYCP2	12.660108680725097
PIN1	12.65522473335266
TEAD1	12.652950839996338
CD80	12.652463951110839
HDAC2	12.651799459457397
OBSL1	12.645876398086548
LRP8	12.642783060073853
TNKS	12.642338647842408
SFTPA1	12.634929552078248
POLR1C	12.626914854049682
DDX54	12.615092487335206
GAB1	12.586264114379883
UCP1	12.578371076583862
GTF2E1	12.569630699157715
FGF17	12.567453918457032
PPP1CC	12.561453256607056
SPTBN1	12.551947793960572
PRKAA1	12.540003414154052
NFKBIE	12.539032325744628
CDKN2C	12.533159399032593
BID	12.526323137283326
CAT	12.51890703201294
XRCC5	12.517726640701294
JMJD1C	12.513371725082397
REST	12.509730157852173
KLRG1	12.497325716018677
NOL11	12.490656733512878
RAD1	12.488443956375122
NR1D1	12.48004831314087
CASP6	12.475691146850586
SF3B1	12.47286057472229
MTA3	12.464266338348388
TEAD4	12.462784538269043
GNAI2	12.459239349365234
CRH	12.455774440765381
NTF4	12.451935997009278
ROCK1	12.444323682785035
CD3E	12.432798261642455
FKBP1A	12.427193241119385
WNT1	12.412336702346801
GPR37L1	12.408344116210937
ETS1	12.404527311325074
FCER1A	12.400062360763549
SMARCA2	12.397631168365479
HDAC3	12.370280494689942
LMNA	12.369392938613892
YWHAH	12.36418421268463
WTAP	12.361416101455688
TNFSF14	12.355903625488281
BLM	12.351555881500245
SOD2	12.349541997909546
MDM4	12.346347017288208
NLRP3	12.34175835609436
SDC1	12.338845930099488
GDNF	12.338570890426636
KRT18	12.31901183128357
SPRY1	12.31255103111267
EIF4EBP1	12.3123846244812
ILK	12.302339477539062
NLK	12.300812654495239
NOD2	12.297891597747803
EGR2	12.294998388290406
IL12RB1	12.294664030075074
NAB2	12.293998403549194
YWHAG	12.288640575408936
PIDD1	12.283300638198853
GTF2E2	12.275526371002197
ZBP1	12.274746913909912
SUPT20H	12.274617166519166
RPS6KA5	12.268368873596192
HIC1	12.263226079940797
GNAI3	12.258353233337402
HSPD1	12.256267662048339
AKAP9	12.250924158096314
KIR2DL4	12.243329010009766
EXOC7	12.238207788467408
NUBP2	12.2363720703125
TBX21	12.23564702987671
PAXIP1	12.224017133712769
PLK1	12.216742906570435
RNF31	12.216595287322997
ZFYVE9	12.215237703323364
PTPRK	12.214848346710205
HUS1	12.20948868751526
TWIST1	12.206996593475342
DCP2	12.20484429359436
CDKN1A	12.202732095718384
RPS6KA3	12.19656816482544
MMS19	12.185113067626952
EXOSC4	12.182176012992858
MST1	12.178697328567505
RHOQ	12.175476446151734
SPRED1	12.17066164970398
PTK2B	12.168361549377442
RHNO1	12.161278429031372
NFATC4	12.156030616760255
MEF2D	12.14452184677124
DIS3	12.140582218170167
SYCP3	12.123844146728516
MYOCD	12.117697114944457
IFNG	12.11644630432129
TLE1	12.103952226638794
GTF2A2	12.092386665344238
WWTR1	12.091030836105347
HSF1	12.090197134017945
SMARCB1	12.088690376281738
EXOSC2	12.087307205200196
UBE2T	12.08216607093811
IL7R	12.081199350357055
SUV39H1	12.080565433502198
CXCR4	12.080531187057495
IRAK2	12.077980136871338
CCDC8	12.0774795627594
RORC	12.076880750656128
NFKBIB	12.076371660232544
SMAD5	12.074027738571168
CXCR5	12.073795175552368
TEAD3	12.072232303619385
DCLRE1A	12.066768684387206
MMP13	12.064041690826416
PDYN	12.059371047019958
NUBP1	12.053992862701415
ERCC3	12.032176961898804
RBL1	12.02887822151184
MAP2K2	12.020157604217529
PRKAR2B	12.018670949935913
PIAS2	12.018123445510865
RPS6	11.991182012557983
DDIT3	11.989246473312377
ELK4	11.985726137161254
TBC1D4	11.980696601867676
FGF10	11.97470938682556
CXCR2	11.968817877769471
ACTR2	11.95766712665558
HLA-B	11.938586912155152
OTUD5	11.93672692298889
TNFRSF10D	11.933516664505005
RHEB	11.932694635391236
MYO5A	11.91595365524292
MBTPS1	11.90821943283081
TREX1	11.903646621704102
FOXO4	11.891373291015626
CUL7	11.888392028808594
S100A8	11.886243476867676
FOXM1	11.886021537780762
SMPD3	11.883091411590577
RRAGD	11.882702789306641
PDPK1	11.87965404510498
PRMT5	11.876808643341064
SPATA2	11.87365966796875
SH3KBP1	11.866233739852905
KRT17	11.862273111343384
JUP	11.85499828338623
SMARCC2	11.852511396408081
IL1B	11.8503098487854
POLR1D	11.844451274871826
TNFRSF12A	11.835873155593871
SMC1B	11.831460371017457
LAT2	11.83132261276245
KRT16	11.819595909118652
FOSL1	11.817028284072876
PRKAR1A	11.815168504714967
TAX1BP1	11.81306411743164
CD40	11.806731929779053
LMNB2	11.806657972335815
EXOSC7	11.800509557723998
CXCR6	11.798960509300231
PKNOX1	11.797715921401977
EREG	11.779478225708008
IL1R2	11.778347606658935
TEAD2	11.778260250091552
VWF	11.776771268844605
PRICKLE1	11.769542589187623
EPHA7	11.769208946228026
UBE2V2	11.767953701019287
SCN5A	11.76627142906189
KRT23	11.76606469631195
NRIP1	11.765471687316895
EXOC8	11.763577575683593
MLH1	11.75332314491272
CPT1A	11.74982801437378
S100A9	11.734317598342896
EXOC3	11.724701957702637
WNK1	11.723790540695191
PHLPP2	11.714107599258423
EXOC1	11.69641056060791
USP7	11.685704717636108
UTP14A	11.685372948646545
EXOSC3	11.68505805015564
